# wavelength(angstroms)  Flux (F_lambda, ergs/s/cm^2/Angstrom)
            2975      3.65905e-09
            3025       3.7211e-09
            3075      3.58151e-09
            3125      3.52466e-09
            3175      3.48796e-09
            3225      3.43402e-09
            3275      3.45074e-09
            3325      3.36448e-09
            3375      3.34676e-09
            3425      3.34441e-09
            3475      3.24886e-09
            3525       3.2616e-09
            3575      3.18548e-09
            3625      3.14046e-09
            3675      3.08299e-09
            3725      3.61428e-09
            3775      4.57102e-09
            3825      5.56538e-09
            3875      6.35933e-09
            3925      8.10829e-09
            3975      6.06681e-09
            4025      8.56711e-09
            4075      7.09887e-09
            4125      6.49279e-09
            4175      7.82455e-09
            4225      7.61971e-09
            4275      7.29063e-09
            4325      5.07516e-09
            4375      6.31338e-09
            4425      6.66296e-09
            4475      6.45021e-09
            4525      6.22711e-09
            4575      6.07406e-09
            4625      5.93479e-09
            4675      5.76619e-09
            4725      5.57848e-09
            4775      5.38111e-09
            4825      4.86476e-09
            4875      3.72985e-09
            4925      4.84469e-09
            4975      4.79266e-09
            5025       4.6318e-09
            5075      4.51943e-09
            5125       4.3894e-09
            5175      4.20134e-09
            5225      4.13487e-09
            5275      4.00365e-09
            5325      3.89619e-09
            5375      3.81123e-09
            5425      3.69099e-09
            5475      3.59572e-09
            5525      3.50989e-09
            5575       3.4236e-09
            5625      3.33376e-09
            5675      3.24655e-09
            5725      3.16185e-09
            5775       3.0796e-09
            5825      2.99968e-09
            5875      2.91131e-09
            5925      2.85184e-09
            5975      2.76803e-09
            6025      2.70698e-09
            6075      2.64255e-09
            6125      2.56998e-09
            6175      2.49941e-09
            6225      2.44032e-09
            6275      2.39219e-09
            6325      2.32676e-09
            6375      2.27219e-09
            6425      2.21903e-09
            6475      2.14958e-09
            6525      2.01679e-09
            6575      1.65234e-09
            6625      1.99853e-09
            6675      1.97286e-09
            6725      1.93136e-09
            6775      1.88683e-09
            6825      1.84339e-09
            6875      1.80493e-09
            6925      1.76352e-09
            6975      1.72312e-09
            7025      1.68368e-09
            7075      1.64887e-09
